,class,count,true_positives,confidence,iou,false_negatives,false_positives,FNR,FPR
0,bench_chair,70,25,0.9078237962722778,0.4836558875701117,43,27,0.6142857142857143,0.38571428571428573
1,sign,22,0,0.0,0.0,22,0,1.0,0.0
2,plant_vertical,998,36,0.8775324755244784,0.4019628831474072,930,9,0.9318637274549099,0.009018036072144289
3,pavement,681,0,0.0,0.0,681,0,1.0,0.0
4,plant_horizontal,763,0,0.0,0.0,763,0,1.0,0.0
5,construction,20,0,0.0,0.0,20,0,1.0,0.0
6,sculpture,55,0,0.0,0.0,55,0,1.0,0.0
7,person,389,411,0.9681673543006545,0.5672891153728193,37,74,0.09511568123393316,0.19023136246786632
8,bus,14,2,0.9941799342632294,0.9280157233931206,12,1,0.8571428571428571,0.07142857142857142
9,bicycle,28,11,0.9471850070086393,0.6058998135548544,13,2,0.4642857142857143,0.07142857142857142
10,pole,221,0,0.0,0.0,221,0,1.0,0.0
11,sky,703,0,0.0,0.0,703,0,1.0,0.0
12,building,859,0,0.0,0.0,859,0,1.0,0.0
13,scooter,18,0,0.0,0.0,18,0,1.0,0.0
14,car,248,143,0.9379697942233586,0.4958555651142333,69,28,0.2782258064516129,0.11290322580645161
