,class,count,true_positives,confidence,iou,false_negatives,false_positives,FNR,FPR
0,plant_vertical,998,0,0.9646643963265926,0.45918767706856056,31,68,0.031062124248496994,0.06813627254509018
1,pavement,681,0,0.9835413441745513,0.7243384195134228,59,21,0.08663729809104258,0.030837004405286344
2,scooter,18,0,0.9823106586933136,0.5637314442800421,3,0,0.16666666666666666,0.0
3,sky,703,0,0.9675310412778235,0.5782031364467337,63,33,0.08961593172119488,0.04694167852062589
4,sign,22,0,0.9850333432356516,0.7338483181335356,14,2,0.6363636363636364,0.09090909090909091
5,plant_horizontal,763,0,0.9702078510873674,0.5971407902764952,42,58,0.05504587155963303,0.07601572739187418
6,car,248,0,0.9705637053207115,0.6118798907653689,16,13,0.06451612903225806,0.05241935483870968
7,bus,14,0,0.9857857584953308,0.8565744011338096,4,4,0.2857142857142857,0.2857142857142857
8,sculpture,55,0,0.9533319391053299,0.4311125652088594,23,4,0.41818181818181815,0.07272727272727272
9,person,389,0,0.9863171988809613,0.6588309346774711,27,21,0.06940874035989718,0.05398457583547558
10,building,859,0,0.9653522627134072,0.49109151864580963,55,57,0.0640279394644936,0.06635622817229336
11,bicycle,28,0,0.9517477696592157,0.5669451208562106,10,3,0.35714285714285715,0.10714285714285714
12,construction,20,0,0.9419420957565308,0.6742038170875635,12,4,0.6,0.2
13,bench_chair,70,0,0.969335428873698,0.6761212579972544,15,9,0.21428571428571427,0.12857142857142856
14,pole,221,0,0.9612139036896032,0.419932022425723,99,27,0.4479638009049774,0.12217194570135746
