/Users/pslive1/Documents/Walk_Projext/BDL079_Daisy_Walk_RouteP1/BDL079_Daisy_Walk_RouteP1.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes
BDL079_Daisy_Walk_RouteP1.mov,0,fixation,1,35.000000,135.000000,100.000000,0.000000,00:00:00.03500,272.440000,198.980000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,1,fixation,5,168.333333,268.333333,100.000000,133.333333,00:00:00.16800,264.860000,202.370000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,2,fixation,19,468.333333,901.666667,433.333333,600.000000,00:00:00.63500,270.320000,201.490000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,3,fixation,30,935.000000,1168.333333,233.333333,966.666667,00:00:01.00200,267.460000,202.030000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,4,fixation,40,1201.666667,1536.666667,335.000000,1301.666667,00:00:01.33700,268.190000,201.880000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,5,fixation,56,1736.666667,2103.333333,366.666667,1835.000000,00:00:01.87000,263.270000,203.000000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,6,fixation,70,2236.666667,2503.333333,266.666667,2301.666667,00:00:02.33700,264.590000,202.820000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,7,fixation,81,2570.000000,2905.000000,335.000000,2670.000000,00:00:02.70500,264.420000,202.850000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,8,fixation,97,3205.000000,3338.333333,133.333333,3203.333333,00:00:03.23800,45.070000,112.430000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,9,fixation,107,3571.666667,3671.666667,100.000000,3536.666667,00:00:03.57200,55.020000,103.870000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,10,fixation,111,3671.666667,3838.333333,166.666667,3670.000000,00:00:03.70500,268.170000,202.040000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,11,fixation,128,3940.000000,4673.333333,733.333333,4238.333333,00:00:04.27300,181.840000,220.310000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,12,fixation,141,4673.333333,4806.666667,133.333333,4671.666667,00:00:04.70700,207.570000,215.120000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,13,fixation,146,4840.000000,4973.333333,133.333333,4838.333333,00:00:04.87300,205.360000,215.140000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,14,fixation,164,5106.666667,5908.333333,801.666667,5440.000000,00:00:05.47500,264.300000,202.860000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,15,fixation,179,5975.000000,6075.000000,100.000000,5940.000000,00:00:05.97500,263.350000,203.040000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,16,fixation,193,6341.666667,6610.000000,268.333333,6406.666667,00:00:06.44200,264.410000,202.840000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,17,fixation,216,6910.000000,7610.000000,700.000000,7175.000000,00:00:07.21000,263.610000,202.930000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,18,fixation,231,7610.000000,7878.333333,268.333333,7675.000000,00:00:07.71000,41.710000,107.310000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,19,fixation,240,8011.666667,8111.666667,100.000000,7976.666667,00:00:08.01200,58.060000,106.650000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,20,fixation,252,8378.333333,8545.000000,166.666667,8376.666667,00:00:08.41200,268.520000,201.720000,-1000.000000,-1000.000000,,,
