/Users/pslive1/Documents/Walk_Projext/BDL004_Goose_EyeTracking_Walk/BDL004_Goose_EyeTracking_Walk.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,ToCut
BDL004_Goose_EyeTracking_Walk.mov,0,fixation,2,0,135,135,0,00:00.1,339.13,429.8,70,80,0 - 6519
BDL004_Goose_EyeTracking_Walk.mov,1,fixation,19,601.666667,735,133.333333,566.666667,00:00.6,382.78,342.11,88,88,16860 - 17384
BDL004_Goose_EyeTracking_Walk.mov,2,fixation,27,835,1068.333333,233.333333,833.333333,00:00.9,293.63,341.19,99,104,33010 - End
BDL004_Goose_EyeTracking_Walk.mov,3,fixation,36,1168.333333,1303.333333,135,1133.333333,00:01.2,318.29,342.5,87,90,
BDL004_Goose_EyeTracking_Walk.mov,4,fixation,45,1470,1636.666667,166.666667,1435,00:01.5,233.46,321.27,100,99,
BDL004_Goose_EyeTracking_Walk.mov,5,fixation,55,1836.666667,1936.666667,100,1768.333333,00:01.8,251.55,161.64,100,107,
BDL004_Goose_EyeTracking_Walk.mov,6,fixation,80,2638.333333,2771.666667,133.333333,2603.333333,00:02.7,212.94,65.46,87,89,
BDL004_Goose_EyeTracking_Walk.mov,8,fixation,142,4740,4840,100,4671.666667,00:04.7,252.31,382.8,40,41,
BDL004_Goose_EyeTracking_Walk.mov,9,fixation,156,5208.333333,5308.333333,100,5140,00:05.2,198.3,247.49,96,96,
BDL004_Goose_EyeTracking_Walk.mov,10,fixation,168,5541.666667,5741.666667,200,5540,00:05.6,144.66,399.04,84,87,
BDL004_Goose_EyeTracking_Walk.mov,11,fixation,176,5775,6041.666667,266.666667,5806.666667,00:05.9,113.5,356.95,67,67,
BDL004_Goose_EyeTracking_Walk.mov,12,fixation,187,6108.333333,6476.666667,368.333333,6173.333333,00:06.2,136.81,350.24,84,84,
BDL004_Goose_EyeTracking_Walk.mov,13,fixation,202,6610,6976.666667,366.666667,6675,00:06.7,128.69,351.35,70,72,
