/Users/pslive1/Documents/Walk_Projext/BDL064_Kermit_EyeTracking_Walk/BDL064_Kermit_EyeTracking_Walk.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes
BDL064_Kermit_EyeTracking_Walk.mov,0,fixation,11,335.000000,501.666667,166.666667,0.000000,00:00:00.36800,220.680000,108.240000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,1,fixation,47,635.000000,2570.000000,1935.000000,1201.666667,00:00:01.57000,155.830000,200.060000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,2,fixation,112,2838.333333,4706.666667,1868.333333,3370.000000,00:00:03.73800,206.830000,149.380000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,3,fixation,211,5106.666667,9078.333333,3971.666667,6675.000000,00:00:07.04300,99.540000,220.490000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,4,fixation,322,9278.333333,12283.333333,3005.000000,10380.000000,00:00:10.74800,197.970000,165.930000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,5,fixation,382,12483.333333,13116.666667,633.333333,12381.666667,00:00:12.75000,192.070000,242.980000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,6,fixation,419,13216.666667,14820.000000,1603.333333,13616.666667,00:00:13.98500,180.540000,329.220000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,7,fixation,445,14853.333333,14953.333333,100.000000,14485.000000,00:00:14.85300,150.390000,314.510000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,8,fixation,453,15053.333333,15253.333333,200.000000,14751.666667,00:00:15.12000,83.890000,358.900000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,9,fixation,459,15286.666667,15420.000000,133.333333,14951.666667,00:00:15.32000,95.050000,317.220000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,10,fixation,466,15520.000000,15686.666667,166.666667,15185.000000,00:00:15.55300,47.240000,348.960000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,11,fixation,476,15786.666667,16088.333333,301.666667,15518.333333,00:00:15.88700,61.080000,283.880000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,12,fixation,529,17656.666667,17756.666667,100.000000,17288.333333,00:00:17.65700,36.160000,215.020000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,13,fixation,535,17823.333333,17956.666667,133.333333,17488.333333,00:00:17.85700,30.600000,214.060000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,14,fixation,545,18123.333333,18323.333333,200.000000,17821.666667,00:00:18.19000,94.090000,220.330000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,15,fixation,554,18423.333333,18623.333333,200.000000,18121.666667,00:00:18.49000,100.640000,240.410000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,16,fixation,568,18623.333333,19358.333333,735.000000,18590.000000,00:00:18.95800,71.820000,230.780000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,17,fixation,586,19558.333333,19658.333333,100.000000,19190.000000,00:00:19.55800,153.910000,125.100000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,18,fixation,595,19658.333333,20126.666667,468.333333,19490.000000,00:00:19.85800,167.400000,129.900000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,19,fixation,612,20193.333333,20760.000000,566.666667,20058.333333,00:00:20.42700,260.560000,141.390000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,20,fixation,624,20793.333333,20960.000000,166.666667,20458.333333,00:00:20.82700,285.330000,110.770000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,21,fixation,632,20993.333333,21260.000000,266.666667,20725.000000,00:00:21.09300,283.560000,99.330000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,22,fixation,638,21293.333333,21395.000000,101.666667,20925.000000,00:00:21.29300,241.820000,127.790000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,23,fixation,642,21395.000000,21528.333333,133.333333,21060.000000,00:00:21.42800,232.000000,149.880000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,24,fixation,652,21628.333333,21961.666667,333.333333,21393.333333,00:00:21.76200,211.860000,216.410000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,25,fixation,664,22161.666667,22261.666667,100.000000,21793.333333,00:00:22.16200,134.220000,220.990000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,26,fixation,697,22628.333333,23996.666667,1368.333333,22895.000000,00:00:23.26300,246.700000,179.510000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,27,fixation,734,24098.333333,24965.000000,866.666667,24130.000000,00:00:24.49800,273.790000,144.300000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,28,fixation,758,25231.666667,25466.666667,235.000000,24930.000000,00:00:25.29800,400.710000,222.310000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,29,fixation,775,25766.666667,26033.333333,266.666667,25498.333333,00:00:25.86700,212.970000,244.850000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,30,fixation,788,26066.666667,26600.000000,533.333333,25931.666667,00:00:26.30000,188.830000,171.370000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,31,fixation,812,26868.333333,27401.666667,533.333333,26733.333333,00:00:27.10200,274.680000,260.060000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,32,fixation,822,27401.666667,27535.000000,133.333333,27066.666667,00:00:27.43500,273.590000,248.980000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,33,fixation,835,27768.333333,28070.000000,301.666667,27500.000000,00:00:27.86800,341.550000,173.930000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,34,fixation,841,28070.000000,28170.000000,100.000000,27701.666667,00:00:28.07000,298.930000,186.690000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,35,fixation,902,29571.666667,30740.000000,1168.333333,29736.666667,00:00:30.10500,113.630000,201.380000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,36,fixation,937,31040.000000,31573.333333,533.333333,30905.000000,00:00:31.27300,49.480000,392.370000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,37,fixation,958,31840.000000,32175.000000,335.000000,31605.000000,00:00:31.97300,116.620000,186.940000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,38,fixation,1183,32275.000000,46760.000000,14485.000000,39115.000000,00:00:39.48300,116.870000,125.280000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,39,fixation,1420,47226.666667,47626.666667,400.000000,47025.000000,00:00:47.39300,105.670000,447.340000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,40,fixation,1439,47693.333333,48461.666667,768.333333,47658.333333,00:00:48.02700,100.920000,423.970000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,41,fixation,1455,48461.666667,48728.333333,266.666667,48193.333333,00:00:48.56200,134.610000,332.520000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,42,fixation,1473,48995.000000,49430.000000,435.000000,48793.333333,00:00:49.16200,168.970000,188.500000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,43,fixation,1484,49496.666667,49663.333333,166.666667,49161.666667,00:00:49.53000,156.060000,204.480000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,44,fixation,1496,49896.666667,50030.000000,133.333333,49561.666667,00:00:49.93000,187.870000,97.630000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,45,fixation,1531,50196.666667,52065.000000,1868.333333,50730.000000,00:00:51.09800,163.990000,236.960000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,46,fixation,1564,52100.000000,52366.666667,266.666667,51831.666667,00:00:52.20000,214.370000,207.660000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,47,fixation,1573,52400.000000,52666.666667,266.666667,52131.666667,00:00:52.50000,173.090000,259.950000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,48,fixation,1580,52666.666667,52866.666667,200.000000,52365.000000,00:00:52.73300,144.360000,225.510000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,49,fixation,1606,53400.000000,53901.666667,501.666667,53233.333333,00:00:53.60200,102.380000,211.590000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,50,fixation,1627,54268.333333,54401.666667,133.333333,53933.333333,00:00:54.30200,377.080000,71.540000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,51,fixation,1644,54836.666667,54970.000000,133.333333,54501.666667,00:00:54.87000,227.490000,161.250000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,52,fixation,1653,55136.666667,55270.000000,133.333333,54801.666667,00:00:55.17000,229.520000,107.730000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,53,fixation,1660,55303.333333,55570.000000,266.666667,55035.000000,00:00:55.40300,210.020000,139.240000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,54,fixation,1667,55570.000000,55770.000000,200.000000,55268.333333,00:00:55.63700,202.950000,149.650000,-1000.000000,-1000.000000,,,
