/Users/pslive1/Documents/Walk_Projext/BDL037_Suna_Walk_Take2/BDL037_Suna_EyeTracking_Walk2_Render/BDL037_Suna_EyeTracking_Walk2_Render.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes
BDL037_Suna_EyeTracking_Walk2_Render.mov,0,fixation,11,235.000000,568.333333,333.333333,0.000000,00:00:00.36800,252.870000,364.220000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,1,fixation,22,568.333333,968.333333,400.000000,366.666667,00:00:00.73500,238.050000,406.380000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,2,fixation,31,1001.666667,1168.333333,166.666667,666.666667,00:00:01.03500,251.570000,449.490000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,3,fixation,45,1470.000000,1603.333333,133.333333,1135.000000,00:00:01.50300,209.620000,250.640000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,4,fixation,60,1936.666667,2136.666667,200.000000,1635.000000,00:00:02.00300,297.140000,406.320000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,5,fixation,73,2236.666667,2738.333333,501.666667,2068.333333,00:00:02.43700,280.390000,323.860000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,6,fixation,84,2805.000000,2905.000000,100.000000,2436.666667,00:00:02.80500,319.410000,361.520000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,7,fixation,91,2971.666667,3171.666667,200.000000,2670.000000,00:00:03.03800,317.310000,306.080000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,8,fixation,129,3938.333333,4740.000000,801.666667,3938.333333,00:00:04.30700,207.700000,126.290000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,9,fixation,154,5106.666667,5240.000000,133.333333,4771.666667,00:00:05.14000,224.830000,272.060000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,10,fixation,160,5273.333333,5475.000000,201.666667,4971.666667,00:00:05.34000,233.480000,230.250000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,11,fixation,168,5575.000000,5708.333333,133.333333,5240.000000,00:00:05.60800,390.650000,248.280000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,12,fixation,174,5741.666667,5975.000000,233.333333,5440.000000,00:00:05.80800,266.460000,288.870000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,13,fixation,186,6041.666667,6441.666667,400.000000,5840.000000,00:00:06.20800,217.790000,230.250000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,14,fixation,223,7210.000000,7776.666667,566.666667,7075.000000,00:00:07.44300,276.340000,439.500000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,15,fixation,236,7843.333333,7976.666667,133.333333,7508.333333,00:00:07.87700,297.970000,404.630000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,16,fixation,247,8245.000000,8345.000000,100.000000,7876.666667,00:00:08.24500,201.050000,347.910000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,17,fixation,275,8978.333333,9480.000000,501.666667,8810.000000,00:00:09.17800,245.050000,388.080000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,18,fixation,287,9580.000000,9680.000000,100.000000,9211.666667,00:00:09.58000,286.890000,342.530000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,19,fixation,293,9746.666667,9880.000000,133.333333,9411.666667,00:00:09.78000,297.170000,326.030000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,20,fixation,299,9913.333333,10146.666667,233.333333,9611.666667,00:00:09.98000,399.520000,384.460000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,21,fixation,308,10180.000000,10446.666667,266.666667,9911.666667,00:00:10.28000,285.050000,313.430000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,22,fixation,323,10748.333333,10915.000000,166.666667,10413.333333,00:00:10.78200,248.830000,380.830000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,23,fixation,335,11115.000000,11348.333333,233.333333,10813.333333,00:00:11.18200,189.640000,409.720000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,24,fixation,343,11415.000000,11548.333333,133.333333,11080.000000,00:00:11.44800,173.760000,228.300000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,25,fixation,347,11548.333333,11715.000000,166.666667,11213.333333,00:00:11.58200,152.870000,295.790000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,26,fixation,354,11781.666667,11915.000000,133.333333,11446.666667,00:00:11.81500,201.310000,394.140000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,27,fixation,359,11948.333333,12116.666667,168.333333,11613.333333,00:00:11.98200,157.860000,218.290000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,28,fixation,368,12216.666667,12416.666667,200.000000,11915.000000,00:00:12.28300,156.510000,224.530000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,29,fixation,373,12416.666667,12550.000000,133.333333,12081.666667,00:00:12.45000,224.760000,316.290000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,30,fixation,382,12716.666667,12850.000000,133.333333,12381.666667,00:00:12.75000,156.410000,401.240000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,31,fixation,386,12850.000000,13016.666667,166.666667,12515.000000,00:00:12.88300,155.630000,227.770000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,32,fixation,398,13283.333333,13385.000000,101.666667,12915.000000,00:00:13.28300,130.470000,289.540000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,33,fixation,408,13585.000000,13718.333333,133.333333,13250.000000,00:00:13.61800,270.820000,375.940000,-1000.000000,-1000.000000,,,
