,Unnamed: 0,filename,frame,subset,dog,class_count,class_list
0,0,e8d58909-25389.jpg,25389,train,kermit,9,pavement car plant_horizontal building person plant_vertical plant_vertical building sky
1,1,1ea193c9-25331.jpg,25331,train,kermit,6,pavement plant_horizontal person sky plant_vertical car
2,2,f92d7220-25227.jpg,25227,train,kermit,9,pavement person building car plant_horizontal plant_vertical plant_vertical building sky
3,3,b0044725-25471.jpg,25471,train,kermit,9,pavement person plant_horizontal building car plant_vertical building sky pole
4,4,1ce4b1e1-19279.jpg,19279,train,kermit,9,pavement pole pole bench_chair person plant_vertical sky sky building
5,5,c39387da-15690.jpg,15690,train,kermit,8,pavement plant_horizontal plant_horizontal sculpture building plant_vertical plant_vertical sky
6,6,7f7912e4-15603.jpg,15603,train,kermit,12,pavement plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sculpture building sky sky sky building
7,7,3c6a2659-15560.jpg,15560,train,kermit,10,pavement plant_horizontal plant_horizontal sculpture sky sky building building plant_vertical plant_vertical
8,8,2b966720-25582.jpg,25582,train,kermit,8,person pole sign plant_horizontal pavement plant_vertical plant_vertical sky
9,9,8dffd3df-25508.jpg,25508,train,kermit,3,pavement plant_horizontal person
10,10,b30e645c-19499.jpg,19499,train,kermit,6,pavement car bicycle plant_vertical building sky
11,11,edd0529f-25137.jpg,25137,train,mixeddogs,10,pavement plant_vertical plant_horizontal plant_horizontal person building building sky sky car
12,12,4deb4565-25761.jpg,25761,train,mixeddogs,12,pavement building building pole plant_horizontal plant_vertical sky car car car sign building
13,13,f2126a06-25830.jpg,25830,train,kermit,10,sign pole car plant_horizontal plant_vertical pavement building building building sky
14,14,ed7ca449-25907.jpg,25907,train,mixeddogs,3,pavement car plant_vertical
15,15,e05fd8bf-15195.jpg,15195,train,kermit,9,pavement plant_horizontal plant_horizontal sculpture plant_vertical plant_vertical plant_vertical sky sky
16,16,c6d01369-15060.jpg,15060,train,kermit,10,person person plant_horizontal plant_horizontal plant_horizontal plant_horizontal pavement plant_vertical plant_vertical sky
17,17,44933e7e-12861.jpg,12861,train,kermit,8,pavement plant_horizontal pole plant_vertical plant_vertical sky sculpture plant_vertical
18,18,9769a51c-12795.jpg,12795,train,kermit,6,pavement plant_horizontal sculpture plant_vertical plant_vertical sky
19,19,2ba1d3d8-11255.jpg,11255,train,kermit,11,plant_horizontal plant_horizontal plant_horizontal pavement plant_vertical sky building plant_vertical building sky pole
20,20,2b4a2955-11348.jpg,11348,train,mixeddogs,11,pavement plant_horizontal plant_horizontal building pole pavement plant_vertical plant_vertical plant_horizontal sky building
21,21,9cc38780-11580.jpg,11580,train,kermit,10,plant_horizontal plant_horizontal pavement plant_vertical plant_vertical plant_vertical building building sky building
22,22,d68d040e-11157.jpg,11157,train,mixeddogs,10,pavement plant_horizontal plant_horizontal building building plant_vertical plant_vertical building plant_vertical sky
23,23,3cb329a2-12497.jpg,12497,train,kermit,8,sign pavement building plant_horizontal plant_vertical pole sculpture sky
24,24,30d33c56-12632.jpg,12632,train,kermit,6,pavement plant_vertical building sculpture sky plant_vertical
25,25,581563e1-11103.jpg,11103,train,kermit,9,person pavement pavement pavement plant_horizontal plant_horizontal building plant_vertical sky
26,26,c04030c7-8989.jpg,8989,train,kermit,2,sign pavement
27,27,fa32dc7f-8877.jpg,8877,train,kermit,7,pavement plant_horizontal building plant_vertical building sign sky
28,28,35841c07-7319.jpg,7319,train,kermit,4,pavement plant_horizontal plant_horizontal person
29,29,860ba678-12386.jpg,12386,train,kermit,7,sign pavement building plant_horizontal plant_horizontal plant_vertical sky
30,30,fdf1fb8c-6915.jpg,6915,train,mixeddogs,5,pavement person person building plant_vertical
31,31,a70ac2e0-2124.jpg,2124,train,kermit,10,person plant_horizontal plant_horizontal pavement pavement pavement plant_horizontal plant_horizontal building building
32,32,7aad20a9-25541.jpg,25541,train,kermit,8,pole person plant_horizontal building pavement plant_vertical plant_vertical sky
33,33,a5b5f46c-15129.jpg,15129,train,mixeddogs,6,pavement plant_horizontal plant_horizontal plant_vertical sky sculpture
34,34,48e1d37e-12356.jpg,12356,train,kermit,5,pavement plant_horizontal building plant_vertical sky
35,35,fcf3d7ef-8845.jpg,8845,train,kermit,8,pavement plant_horizontal building building plant_vertical plant_vertical sign sky
36,36,9a6ac9f8-7252.jpg,7252,train,kermit,3,building pavement plant_horizontal
37,37,6771f45a-6881.jpg,6881,train,mixeddogs,3,pavement plant_horizontal building
38,38,57caab59-15024.jpg,15024,train,daisy,13,person plant_horizontal plant_horizontal pavement plant_vertical building plant_vertical sky sculpture pole plant_vertical plant_vertical sky
39,39,83e7d723-24408.jpg,24408,train,suna,10,person pavement pavement pavement plant_horizontal building plant_vertical plant_horizontal sky sky
40,40,147126c2-10149.jpg,10149,train,kermit,6,plant_horizontal bench_chair pavement plant_horizontal building plant_vertical
41,41,1bbde864-12279.jpg,12279,train,kermit,6,pavement building plant_vertical plant_horizontal plant_horizontal sky
42,42,485dc156-24524.jpg,24524,train,suna,10,pavement sculpture plant_vertical plant_horizontal pavement bench_chair building plant_vertical plant_vertical sky
43,43,cb315366-11994.jpg,11994,train,kermit,4,building pavement pavement pavement
44,44,1351bc0b-24555.jpg,24555,train,suna,15,pavement plant_horizontal bench_chair sculpture plant_vertical plant_vertical plant_horizontal pole building building sky building sculpture building plant_vertical
45,45,501f816c-6544.jpg,6544,train,kermit,10,plant_horizontal pavement plant_vertical plant_vertical person plant_horizontal pole plant_vertical plant_vertical sky
46,46,4a035ed2-6438.jpg,6438,train,kermit,5,plant_horizontal pavement plant_horizontal person plant_vertical
47,47,903d62a4-6355.jpg,6355,train,kermit,7,pavement plant_horizontal person plant_vertical pole building sky
48,48,85f1075f-6606.jpg,6606,train,mixeddogs,5,pavement plant_horizontal building plant_vertical sky
49,49,5f9f5d09-9987.jpg,9987,train,kermit,4,plant_horizontal pavement building plant_vertical
50,50,55313ebd-9531.jpg,9531,train,kermit,7,pavement plant_horizontal plant_vertical sky building building sky
51,51,550d5a42-9666.jpg,9666,train,kermit,7,pavement plant_horizontal plant_horizontal plant_vertical building building sky
52,52,3cf47be0-9409.jpg,9409,train,kermit,8,pavement plant_vertical plant_horizontal plant_horizontal plant_vertical building sky sky
53,53,e7cc4737-9346.jpg,9346,train,kermit,7,person pavement plant_vertical building building sky sky
54,54,eadefe0e-6186.jpg,6186,train,daisy,3,plant_horizontal building sky
