,class,count,true_positives,confidence,iou,false_negatives,false_positives,FNR,FPR
0,sky,703,0,0,0,703,0,1.0,0.0
1,plant_vertical,998,0,0,0,998,0,1.0,0.0
2,sign,22,0,0,0,22,0,1.0,0.0
3,bus,14,0,0,0,14,0,1.0,0.0
4,pole,221,2,0.8157601952552795,0.0,219,1,0.9909502262443439,0.004524886877828055
5,pavement,681,0,0,0,681,0,1.0,0.0
6,bench_chair,70,0,0,0,70,0,1.0,0.0
7,construction,20,0,0,0,20,0,1.0,0.0
8,bicycle,28,6,0.9181946615378062,0.6072302295280525,18,0,0.6428571428571429,0.0
9,scooter,18,0,0,0,18,0,1.0,0.0
10,sculpture,55,0,0,0,55,0,1.0,0.0
11,car,248,135,0.934268237484826,0.6115513796822352,61,10,0.24596774193548387,0.04032258064516129
12,building,859,0,0,0,859,0,1.0,0.0
13,person,389,321,0.9228203989263636,0.6092562715587275,73,6,0.18766066838046272,0.015424164524421594
14,plant_horizontal,763,0,0,0,763,0,1.0,0.0
