,/Users/pslive1/Documents/Walk_Projext/BDL079_Daisy_Walk_RouteP1/BDL079_Daisy_Walk_RouteP1.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes,all_classes,fixation_classes,fixation_classes_no_background,union_areas,percentage_area
0,BDL079_Daisy_Walk_RouteP1.mov,0,fixation,1,35.0,135.0,100.0,0.0,00:00:00.03500,272.44,198.98,-1000.0,-1000.0,,,,building pavement person plant_vertical plant_vertical plant_vertical plant_vertical sky sky sky,person: 1.0 background: 0.0,person: 1.0,0.8275325520833333,person:0.2801009114583333 plant_vertical:0.4490690104166667 sky:0.2599381510416667 building:0.066806640625 pavement:0.014300130208333333
1,BDL079_Daisy_Walk_RouteP1.mov,1,fixation,5,168.333333,268.333333,100.0,133.333333,00:00:00.16800,264.86,202.37,-1000.0,-1000.0,,,,building pavement person plant_vertical plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.8275390625,person:0.26178385416666666 plant_vertical:0.445615234375 sky:0.20857096354166665 building:0.06972005208333333 pavement:0.034029947916666664
2,BDL079_Daisy_Walk_RouteP1.mov,2,fixation,19,468.333333,901.666667,433.333333,600.0,00:00:00.63500,270.32,201.49,-1000.0,-1000.0,,,,building person plant_vertical plant_vertical plant_vertical sky sky sky,person: 0.954437921668273 sky: 0.0012266713397003418 plant_vertical: 0.04293349688951196 background: 0.0014019101025146764,person: 0.9557778362727033 sky: 0.0012283934368693516 plant_vertical: 0.04299377029042731,0.8293587239583333,person:0.24490885416666666 plant_vertical:0.38575846354166665 sky:0.4423470052083333 building:0.07480794270833334
3,BDL079_Daisy_Walk_RouteP1.mov,3,fixation,30,935.0,1168.333333,233.333333,966.666667,00:00:01.00200,267.46,202.03,-1000.0,-1000.0,,,,building person plant_vertical plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.8203873697916667,person:0.25724609375 plant_vertical:0.30936197916666663 building:0.065986328125 sky:0.253701171875
4,BDL079_Daisy_Walk_RouteP1.mov,4,fixation,40,1201.666667,1536.666667,335.0,1301.666667,00:00:01.33700,268.19,201.88,-1000.0,-1000.0,,,,building person plant_vertical plant_vertical plant_vertical plant_vertical plant_vertical sky sky,person: 0.9981666513887616 background: 0.001833348611238427,person: 1.0,0.8196744791666667,person:0.25685546875 plant_vertical:0.44482096354166667 sky:0.22259440104166667 building:0.08732747395833333
5,BDL079_Daisy_Walk_RouteP1.mov,5,fixation,56,1736.6666670000002,2103.333333,366.666667,1835.0,00:00:01.87000,263.27,203.0,-1000.0,-1000.0,,,,building person plant_vertical plant_vertical plant_vertical plant_vertical sky sky sky,person: 0.959700835899692 sky: 0.006335239771227453 plant_vertical: 0.033875934887813465 background: 8.798944126704795e-05,person: 0.9597852868708201 sky: 0.006335797254487857 plant_vertical: 0.03387891587469201,0.7757486979166667,person:0.24623697916666668 plant_vertical:0.43759440104166664 building:0.08920572916666666 sky:0.25871419270833335
6,BDL079_Daisy_Walk_RouteP1.mov,6,fixation,70,2236.666667,2503.333333,266.666667,2301.666667,00:00:02.33700,264.59,202.82,-1000.0,-1000.0,,,,building person plant_vertical plant_vertical plant_vertical plant_vertical sky sky sky,person: 0.9744823828550672 sky: 0.024427896839811114 background: 0.0010897203051216855,person: 0.9755454545454545 sky: 0.024454545454545455,0.8116243489583334,person:0.24163411458333334 plant_vertical:0.29083658854166666 building:0.09392252604166666 sky:0.4093717447916667
7,BDL079_Daisy_Walk_RouteP1.mov,7,fixation,81,2570.0,2905.0,335.0,2670.0,00:00:02.70500,264.42,202.85,-1000.0,-1000.0,,,,building person plant_vertical plant_vertical plant_vertical sky sky sky,person: 0.9817998902505944 sky: 0.015456374611304188 background: 0.0027437351381013352,person: 0.984501100513573 sky: 0.015498899486427,0.786748046875,person:0.24943033854166666 plant_vertical:0.3722721354166667 building:0.09706380208333333 sky:0.2348046875
8,BDL079_Daisy_Walk_RouteP1.mov,8,fixation,97,3205.0,3338.333333,133.333333,3203.333333,00:00:03.23800,45.07,112.43,-1000.0,-1000.0,,,,building person plant_vertical plant_vertical plant_vertical plant_vertical sky sky sky,sky: 0.15768660405338605 plant_vertical: 0.00016477179106936892 sky: 0.7050584939858296 background: 0.13709013016971494,sky: 0.18273820889822417 plant_vertical: 0.00019094901661256445 sky: 0.8170708420851632,0.8380891927083334,person:0.237998046875 plant_vertical:0.3798372395833333 sky:0.3826009114583333 building:0.09511067708333333
9,BDL079_Daisy_Walk_RouteP1.mov,9,fixation,107,3571.666667,3671.666667,100.0,3536.666667,00:00:03.57200,55.02,103.87,-1000.0,-1000.0,,,,building person plant_vertical plant_vertical plant_vertical sky sky,sky: 0.8956355003652301 sky: 0.012052593133674214 background: 0.09231190650109569,sky: 0.9867216577809074 sky: 0.013278342219092647,0.788935546875,person:0.24482096354166666 plant_vertical:0.318486328125 building:0.10457356770833333 sky:0.23760091145833334
