,/Users/pslive1/Documents/Walk_Projext/BDL004_Goose_EyeTracking_Walk/BDL004_Goose_EyeTracking_Walk.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,ToCut,all_classes,fixation_classes,fixation_classes_no_background,union_areas,percentage_area
0,BDL004_Goose_EyeTracking_Walk.mov,0,fixation,2,0.0,135.0,135.0,0.0,00:00.1,339.13,429.8,70,80,0 - 6519,building pavement pavement pavement person plant_horizontal plant_horizontal plant_vertical sky,person: 0.7472437729685586 background: 0.2527562270314414,person: 1.0,0.8433919270833333,person:0.6120377604166667 plant_vertical:0.015348307291666667 plant_horizontal:0.01814453125 building:0.04177734375 pavement:0.09652994791666668 sky:0.05957682291666667
1,BDL004_Goose_EyeTracking_Walk.mov,1,fixation,19,601.666667,735.0,133.333333,566.666667,00:00.6,382.78,342.11,88,88,16860 - 17384,building person person plant_vertical plant_vertical sky,person: 1.0 background: 0.0,person: 1.0,0.81787109375,person:0.67013671875 sky:0.06411783854166667 building:0.07514322916666667 plant_vertical:0.045009765625
2,BDL004_Goose_EyeTracking_Walk.mov,2,fixation,27,835.0,1068.333333,233.333333,833.333333,00:00.9,293.63,341.19,99,104,33010 - End,building person person plant_vertical sky,person: 1.0 background: 0.0,person: 1.0,0.7324967447916667,person:0.6787630208333334 building:0.046861979166666665 plant_vertical:0.0037044270833333334 sky:0.003896484375
3,BDL004_Goose_EyeTracking_Walk.mov,3,fixation,36,1168.333333,1303.333333,135.0,1133.333333,00:01.2,318.29,342.5,87,90,,building person sign,background: 1.0,,0.3711067708333333,person:0.27191731770833333 sign:0.019912109375 building:0.089140625
4,BDL004_Goose_EyeTracking_Walk.mov,4,fixation,45,1470.0,1636.666667,166.666667,1435.0,00:01.5,233.46,321.27,100,99,,building person plant_horizontal plant_horizontal plant_vertical plant_vertical,building: 1.0 background: 0.0,building: 1.0,0.8171744791666666,person:0.213212890625 plant_horizontal:0.3727083333333333 plant_vertical:0.02 building:0.23219075520833332
5,BDL004_Goose_EyeTracking_Walk.mov,5,fixation,55,1836.6666670000002,1936.6666670000002,100.0,1768.3333329999998,00:01.8,251.55,161.64,100,107,,building building plant_horizontal plant_vertical pole,plant_vertical: 0.2805522914218566 building: 0.7194477085781433 background: 0.0,plant_vertical: 0.2805522914218566 building: 0.7194477085781433,0.71392578125,plant_vertical:0.330625 building:0.40077799479166665 pole:0.243779296875 plant_horizontal:0.150537109375
6,BDL004_Goose_EyeTracking_Walk.mov,6,fixation,80,2638.333333,2771.666667,133.333333,2603.333333,00:02.7,212.94,65.46,87,89,,building building building pavement pavement plant_horizontal plant_vertical plant_vertical sky,sky: 0.7354022049816251 background: 0.2645977950183748,sky: 1.0,0.8595572916666666,plant_vertical:0.022200520833333334 building:0.291943359375 plant_horizontal:0.4886751302083333 sky:0.07872395833333333 pavement:0.011416015625
7,BDL004_Goose_EyeTracking_Walk.mov,8,fixation,142,4740.0,4840.0,100.0,4671.666667,00:04.7,252.31,382.8,40,41,,plant_vertical,plant_vertical: 0.690077582686811 background: 0.30992241731318904,plant_vertical: 1.0,0.5193684895833334,plant_vertical:0.5193684895833334
8,BDL004_Goose_EyeTracking_Walk.mov,9,fixation,156,5208.333333,5308.333333,100.0,5140.0,00:05.2,198.3,247.49,96,96,,building pavement plant_horizontal sky,plant_horizontal: 1.0 background: 0.0,plant_horizontal: 1.0,0.7512565104166666,sky:0.04014973958333334 plant_horizontal:0.6874609375 building:0.05259440104166667 pavement:0.00341796875
9,BDL004_Goose_EyeTracking_Walk.mov,10,fixation,168,5541.666667,5741.666667,200.0,5540.0,00:05.6,144.66,399.04,84,87,,plant_horizontal,plant_horizontal: 1.0 background: 0.0,plant_horizontal: 1.0,0.6761881510416666,plant_horizontal:0.6761881510416666
10,BDL004_Goose_EyeTracking_Walk.mov,11,fixation,176,5775.0,6041.666667,266.666667,5806.666667,00:05.9,113.5,356.95,67,67,,plant_horizontal,plant_horizontal: 1.0 background: 0.0,plant_horizontal: 1.0,0.7314420572916667,plant_horizontal:0.7314420572916667
11,BDL004_Goose_EyeTracking_Walk.mov,12,fixation,187,6108.333333,6476.666667,368.333333,6173.333333,00:06.2,136.81,350.24,84,84,,building plant_horizontal plant_vertical,plant_horizontal: 0.5 plant_vertical: 0.5 background: 0.0,plant_horizontal: 0.5 plant_vertical: 0.5,0.95625,plant_horizontal:0.841015625 building:0.08157877604166666 plant_vertical:0.8609602864583333
12,BDL004_Goose_EyeTracking_Walk.mov,13,fixation,202,6610.0,6976.666667,366.666667,6675.0,00:06.7,128.69,351.35,70,72,,plant_horizontal plant_vertical,plant_vertical: 0.403157255616272 plant_horizontal: 0.25652701882210077 background: 0.3403157255616272,plant_vertical: 0.6111366774045099 plant_horizontal: 0.3888633225954901,0.8375651041666666,plant_vertical:0.7603971354166666 plant_horizontal:0.7422233072916666
13,BDL004_Goose_EyeTracking_Walk.mov,14,fixation,217,7243.333333,7343.333333,100.0,7175.0,00:07.2,95.3,196.87,96,96,,building pavement plant_horizontal plant_vertical pole,plant_vertical: 0.8714080459770115 plant_horizontal: 0.12033045977011494 background: 0.008261494252873564,plant_vertical: 0.8786671495834842 plant_horizontal: 0.12133285041651576,0.71349609375,plant_vertical:0.223701171875 building:0.05293294270833333 pavement:0.0 plant_horizontal:0.30482096354166666 pole:0.3583756510416667
14,BDL004_Goose_EyeTracking_Walk.mov,15,fixation,228,7576.666667,7711.666667,135.0,7541.666667,00:07.6,150.2,341.49,81,92,,car pavement plant_horizontal plant_vertical plant_vertical,plant_horizontal: 1.0 background: 0.0,plant_horizontal: 1.0,0.7453515625,pavement:0.20580403645833334 plant_horizontal:0.6174088541666667 car:0.0022981770833333335 plant_vertical:0.10784830729166667
15,BDL004_Goose_EyeTracking_Walk.mov,16,fixation,232,7745.0,7845.0,100.0,7676.666667,00:07.7,55.46,119.67,94,94,,person plant_horizontal,plant_horizontal: 0.6544628540887226 person: 0.3455371459112774 background: 0.0,plant_horizontal: 0.6544628540887226 person: 0.3455371459112774,0.8157779947916667,plant_horizontal:0.7918880208333333 person:0.5467903645833333
16,BDL004_Goose_EyeTracking_Walk.mov,17,fixation,236,7878.333333,7978.333333,100.0,7810.0,00:07.9,77.04,181.79,96,96,,person plant_horizontal plant_vertical,plant_horizontal: 0.5 plant_vertical: 0.5 background: 0.0,plant_horizontal: 0.5 plant_vertical: 0.5,0.833037109375,plant_horizontal:0.5800227864583334 person:0.5116373697916666 plant_vertical:0.8164420572916666
17,BDL004_Goose_EyeTracking_Walk.mov,18,fixation,242,8078.333333,8178.333333,100.0,8010.0,00:08.1,69.48,133.08,100,100,,person plant_horizontal,background: 1.0,,0.6146223958333333,plant_horizontal:0.40481119791666664 person:0.390166015625
18,BDL004_Goose_EyeTracking_Walk.mov,19,fixation,258,8611.666667,8711.666667,100.0,8543.333333,00:08.6,148.45,348.84,116,116,,pavement person person plant_horizontal,pavement: 0.6835054423667318 plant_horizontal: 0.01507116941110801 person: 0.3014233882221602 background: 0.0,pavement: 0.6835054423667318 plant_horizontal: 0.01507116941110801 person: 0.3014233882221602,0.9493391927083333,pavement:0.8550455729166667 plant_horizontal:0.6469986979166666 person:0.25828125
19,BDL004_Goose_EyeTracking_Walk.mov,20,fixation,267,8711.666667,9180.0,468.333333,8843.333333,00:08.9,70.44,169.62,108,106,,pavement plant_horizontal plant_vertical,plant_horizontal: 0.5 plant_vertical: 0.5 background: 0.0,plant_horizontal: 0.5 plant_vertical: 0.5,0.8977897135416667,pavement:0.43388020833333335 plant_horizontal:0.7106575520833334 plant_vertical:0.496005859375
20,BDL004_Goose_EyeTracking_Walk.mov,21,fixation,277,9213.333333,9380.0,166.666667,9178.333333,00:09.2,164.91,344.93,42,85,,pavement person plant_horizontal,pavement: 0.33590890605937374 plant_horizontal: 0.5664904432696218 background: 0.09760065067100447,pavement: 0.3722397476340694 plant_horizontal: 0.6277602523659306,0.8760514322916667,pavement:0.45461588541666664 plant_horizontal:0.7451529947916666 person:0.0059635416666666665
21,BDL004_Goose_EyeTracking_Walk.mov,22,fixation,287,9546.666667,9713.333333,166.666667,9511.666667,00:09.6,234.16,304.63,77,98,,person plant_horizontal plant_vertical,plant_vertical: 0.5 plant_horizontal: 0.5 background: 0.0,plant_vertical: 0.5 plant_horizontal: 0.5,0.8864192708333334,person:0.0027897135416666665 plant_vertical:0.768095703125 plant_horizontal:0.8553092447916667
22,BDL004_Goose_EyeTracking_Walk.mov,23,fixation,317,10515.0,10748.33333,233.333333,10513.33333,00:10.6,192.64,109.11,79,96,,building person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical sky sky sky,person: 1.0 background: 0.0,person: 1.0,0.741484375,person:0.22285807291666668 building:0.10062174479166666 sky:0.09825520833333333 plant_vertical:0.35349283854166663 plant_horizontal:0.05793294270833334
23,BDL004_Goose_EyeTracking_Walk.mov,24,fixation,324,10781.66667,10915.0,133.333333,10746.66667,00:10.8,164.41,125.59,82,88,,building building person plant_vertical plant_vertical plant_vertical sky sky,person: 0.46553647111309393 plant_vertical: 0.39906312737006466 sky: 0.016283738567923266 building: 0.05264331920588891 background: 0.06647334374302923,person: 0.4986857825567503 plant_vertical: 0.42747909199522105 sky: 0.017443249701314216 building: 0.056391875746714455,0.7301041666666667,person:0.16845703125 building:0.09375325520833333 plant_vertical:0.48814453125 sky:0.13900716145833333
24,BDL004_Goose_EyeTracking_Walk.mov,25,fixation,328,10915.0,11081.66667,166.666667,10880.0,00:10.9,147.01,155.0,76,79,,building building person person,person: 0.7092690894242548 background: 0.2907309105757452,person: 1.0,0.5294108072916667,person:0.5456868489583333 building:0.02992513020833333
25,BDL004_Goose_EyeTracking_Walk.mov,26,fixation,337,11148.33333,11415.0,266.666667,11180.0,00:11.2,90.88,113.64,70,82,,building building person plant_horizontal plant_vertical plant_vertical,plant_vertical: 0.6201570017726007 plant_horizontal: 0.37984299822739936 background: 0.0,plant_vertical: 0.6201570017726007 plant_horizontal: 0.37984299822739936,0.8663248697916667,building:0.073408203125 plant_vertical:0.7403873697916666 person:0.09075520833333334 plant_horizontal:0.6428841145833334
26,BDL004_Goose_EyeTracking_Walk.mov,27,fixation,360,11950.0,12183.33333,233.333333,11948.33333,00:12.0,138.38,240.13,79,80,,building building person plant_vertical plant_vertical sky,person: 1.0 background: 0.0,person: 1.0,0.885068359375,person:0.312763671875 building:0.20509765625 plant_vertical:0.4562272135416666 sky:0.023567708333333333
