,/Users/pslive1/Documents/Walk_Projext/BDL064_Kermit_EyeTracking_Walk/BDL064_Kermit_EyeTracking_Walk.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes,all_classes,fixation_classes,fixation_classes_no_background,union_areas,percentage_area
0,BDL064_Kermit_EyeTracking_Walk.mov,0,fixation,11,335.0,501.666667,166.666667,0.0,00:00:00.36800,220.68,108.24,-1000.0,-1000.0,,,,building building pavement pavement pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical,person: 0.0988939492517892 plant_vertical: 0.22663196703535024 building: 0.3049230101930167 pavement: 0.2253307308609846 background: 0.14422034265885925,person: 0.11556006082108464 plant_vertical: 0.2648251393816523 building: 0.35631018753167765 pavement: 0.2633046122655854,0.82986328125,person:0.129462890625 plant_vertical:0.08755859375 building:0.2377571614583333 plant_horizontal:0.5822395833333334 pavement:0.10195963541666668
1,BDL064_Kermit_EyeTracking_Walk.mov,1,fixation,47,635.0,2570.0,1935.0,1201.666667,00:00:01.57000,155.83,200.06,-1000.0,-1000.0,,,,building pavement pavement pavement person plant_horizontal plant_vertical,plant_vertical: 0.002343139807341838 background: 0.9976568601926582,plant_vertical: 1.0,0.6898470052083333,person:0.137841796875 building:0.08816080729166667 plant_horizontal:0.26179361979166665 plant_vertical:0.08909830729166666 pavement:0.15646158854166667
2,BDL064_Kermit_EyeTracking_Walk.mov,2,fixation,112,2838.333333,4706.666667,1868.3333329999998,3370.0,00:00:03.73800,206.83,149.38,-1000.0,-1000.0,,,,plant_vertical,plant_vertical: 1.0 background: 0.0,plant_vertical: 1.0,0.634423828125,plant_vertical:0.634423828125
3,BDL064_Kermit_EyeTracking_Walk.mov,3,fixation,211,5106.666667,9078.333333,3971.666667,6675.0,00:00:07.04300,99.54,220.49,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_vertical,pavement: 0.12757094506638897 background: 0.872429054933611,pavement: 1.0,0.601640625,person:0.12881184895833334 plant_vertical:0.08515950520833333 building:0.06876627604166667 plant_horizontal:0.29237955729166665 pavement:0.047486979166666665
4,BDL064_Kermit_EyeTracking_Walk.mov,4,fixation,322,9278.333333,12283.333333,3005.0,10380.0,00:00:10.74800,197.97,165.93,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_vertical,background: 1.0,,0.4766438802083333,person:0.12047526041666666 plant_horizontal:0.18533854166666666 plant_vertical:0.073330078125 pavement:0.03285481770833333 building:0.06938802083333333
5,BDL064_Kermit_EyeTracking_Walk.mov,5,fixation,382,12483.333333,13116.666667,633.333333,12381.666667,00:00:12.75000,192.07,242.98,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky,person: 0.8323353293413174 building: 0.03436605050768029 background: 0.13329862015100236,person: 0.9603484529888856 building: 0.03965154701111445,0.7875423177083334,person:0.2958756510416667 plant_horizontal:0.2516015625 plant_vertical:0.07220377604166667 sky:0.0017220052083333334 building:0.17634440104166665 pavement:0.0302734375 pole:0.0031022135416666667
6,BDL064_Kermit_EyeTracking_Walk.mov,6,fixation,419,13216.666667,14820.0,1603.333333,13616.666667,00:00:13.98500,180.54,329.22,-1000.0,-1000.0,,,,building building person plant_horizontal plant_vertical plant_vertical,person: 0.44807467911318555 plant_vertical: 0.08914819136522754 building: 0.4221703617269545 background: 0.04060676779463244,person: 0.4670396497202627 plant_vertical: 0.09292143030892727 building: 0.44003891997081,0.7044173177083334,building:0.16337239583333335 person:0.281787109375 plant_horizontal:0.09784505208333333 plant_vertical:0.2091015625
7,BDL064_Kermit_EyeTracking_Walk.mov,7,fixation,445,14853.333333,14953.333333,100.0,14485.0,00:00:14.85300,150.39,314.51,-1000.0,-1000.0,,,,building pavement pavement person person plant_vertical plant_vertical plant_vertical,plant_vertical: 0.21010153605831813 pavement: 0.04972663368914345 background: 0.7401718302525384,plant_vertical: 0.8086172344689379 pavement: 0.19138276553106212,0.42345052083333334,person:0.194306640625 plant_vertical:0.2374055989583333 pavement:0.02853190104166667 building:0.010777994791666667
8,BDL064_Kermit_EyeTracking_Walk.mov,8,fixation,453,15053.333333,15253.333333,200.0,14751.666667,00:00:15.12000,83.89,358.9,-1000.0,-1000.0,,,,person plant_horizontal plant_horizontal plant_vertical,plant_horizontal: 0.33755274261603374 plant_horizontal: 0.23407675306409484 background: 0.4283705043198714,plant_horizontal: 0.5905096660808435 plant_horizontal: 0.4094903339191564,0.55837890625,person:0.151064453125 plant_horizontal:0.39287434895833334 plant_vertical:0.13078776041666668
9,BDL064_Kermit_EyeTracking_Walk.mov,9,fixation,459,15286.666667,15420.0,133.333333,14951.666667,00:00:15.32000,95.05,317.22,-1000.0,-1000.0,,,,pavement person plant_horizontal plant_vertical,pavement: 0.1004946628482166 background: 0.8995053371517834,pavement: 1.0,0.4609016927083333,person:0.09046549479166667 plant_vertical:0.132041015625 pavement:0.03244791666666667 plant_horizontal:0.21168619791666668
10,BDL064_Kermit_EyeTracking_Walk.mov,10,fixation,466,15520.0,15686.666667,166.666667,15185.0,00:00:15.55300,47.24,348.96,-1000.0,-1000.0,,,,building building building pavement pavement person plant_horizontal plant_horizontal plant_vertical,background: 1.0,,0.8294075520833334,plant_horizontal:0.3117903645833333 plant_vertical:0.15875 building:0.45796549479166665 person:0.03859700520833333 pavement:0.06377604166666667
11,BDL064_Kermit_EyeTracking_Walk.mov,11,fixation,476,15786.666667,16088.333333,301.666667,15518.333333,00:00:15.88700,61.08,283.88,-1000.0,-1000.0,,,,building pavement plant_horizontal plant_vertical plant_vertical,background: 1.0,,0.6915364583333333,building:0.2787141927083333 plant_horizontal:0.28724283854166666 plant_vertical:0.266943359375 pavement:0.014274088541666667
12,BDL064_Kermit_EyeTracking_Walk.mov,12,fixation,529,17656.666666999998,17756.666666999998,100.0,17288.333333000002,00:00:17.65700,36.16,215.02,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical sky,plant_vertical: 0.09635106129263057 person: 0.8535654662532792 plant_horizontal: 0.0009539709038874314 background: 0.049129501550202716,plant_vertical: 0.10132932029094557 person: 0.8976674191121143 plant_horizontal: 0.001003260596940055,0.7270865885416666,plant_vertical:0.203828125 plant_horizontal:0.36024414062500004 person:0.032353515625 sky:0.0149609375 building:0.13896158854166665 pavement:0.04314453125
13,BDL064_Kermit_EyeTracking_Walk.mov,13,fixation,535,17823.333333000002,17956.666666999998,133.333333,17488.333333000002,00:00:17.85700,30.6,214.06,-1000.0,-1000.0,,,,building person person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical sky sky,person: 0.9796737095480075 background: 0.02032629045199251,person: 1.0,0.7589095052083333,person:0.23712565104166666 plant_horizontal:0.35625325520833334 plant_vertical:0.2530859375 building:0.016998697916666666 sky:0.014661458333333334
14,BDL064_Kermit_EyeTracking_Walk.mov,14,fixation,545,18123.333333000002,18323.333333000002,200.0,17821.666666999998,00:00:18.19000,94.09,220.33,-1000.0,-1000.0,,,,building pavement pavement person plant_horizontal plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical,person: 0.8411871908357199 background: 0.15881280916428014,person: 1.0,0.7129654947916667,person:0.061220703125 plant_horizontal:0.3242740885416667 plant_vertical:0.372666015625 building:0.021031901041666665 pavement:0.05248046875
15,BDL064_Kermit_EyeTracking_Walk.mov,15,fixation,554,18423.333333000002,18623.333333000002,200.0,18121.666666999998,00:00:18.49000,100.64,240.41,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical,person: 0.5771934392085395 building: 0.0013017443374121322 plant_horizontal: 0.1791200208279094 pavement: 0.001041395469929706 background: 0.2413434001562093,person: 0.7608098833218943 building: 0.0017158544955387784 plant_horizontal: 0.2361015785861359 pavement: 0.0013726835964310226,0.6867317708333334,person:0.052574869791666666 building:0.0383984375 plant_horizontal:0.35627604166666665 plant_vertical:0.22913411458333333 pavement:0.04792317708333334
16,BDL064_Kermit_EyeTracking_Walk.mov,16,fixation,568,18623.333333000002,19358.333333000002,735.0,18590.0,00:00:18.95800,71.82,230.78,-1000.0,-1000.0,,,,building building car pavement pavement person person plant_horizontal plant_horizontal plant_horizontal plant_horizontal plant_vertical,plant_horizontal: 0.43437945791726107 building: 0.3361864003804089 pavement: 0.04184498335710889 car: 0.0936757013789824 background: 0.0939134569662387,plant_horizontal: 0.4794017318289163 building: 0.3710312254001574 pavement: 0.04618210443453162 car: 0.10338493833639464,0.810205078125,person:0.26642578125 plant_horizontal:0.3582682291666667 building:0.03676432291666666 plant_vertical:0.13532877604166665 pavement:0.040458984375 car:0.0054361979166666664
17,BDL064_Kermit_EyeTracking_Walk.mov,17,fixation,586,19558.333333000002,19658.333333000002,100.0,19190.0,00:00:19.55800,153.91,125.1,-1000.0,-1000.0,,,,building building car person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical,plant_vertical: 0.05128205128205128 person: 0.7836385836385836 plant_vertical: 0.1387057387057387 background: 0.026373626373626374,plant_vertical: 0.0526711813393529 person: 0.8048658138951593 plant_vertical: 0.14246300476548784,0.687890625,plant_vertical:0.323984375 person:0.03299153645833333 building:0.06970377604166667 plant_horizontal:0.329296875 car:0.0017708333333333332
18,BDL064_Kermit_EyeTracking_Walk.mov,18,fixation,595,19658.333333000002,20126.666666999998,468.333333,19490.0,00:00:19.85800,167.4,129.9,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical,person: 0.8053319919517102 plant_vertical: 0.03169014084507042 plant_vertical: 0.08626760563380281 background: 0.0767102615694165,person: 0.8722418959411604 plant_vertical: 0.034323072732225554 plant_vertical: 0.093435031326614,0.6745930989583333,plant_horizontal:0.2591731770833333 person:0.030660807291666668 plant_vertical:0.37173177083333336 building:0.0502734375 pavement:0.022799479166666668
