,/Users/pslive1/Documents/Walk_Projext/BDL037_Suna_Walk_Take2/BDL037_Suna_EyeTracking_Walk2_Render/BDL037_Suna_EyeTracking_Walk2_Render.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes,all_classes,fixation_classes,fixation_classes_no_background,union_areas,percentage_area
0,BDL037_Suna_EyeTracking_Walk2_Render.mov,0,fixation,11,235.0,568.333333,333.333333,0.0,00:00:00.36800,252.87,364.22,-1000.0,-1000.0,,,,building building building pavement pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.884873046875,person:0.28672200520833335 pavement:0.22203450520833332 building:0.07955403645833334 sky:0.16265299479166667 plant_vertical:0.14262369791666665 plant_horizontal:0.04578776041666667
1,BDL037_Suna_EyeTracking_Walk2_Render.mov,1,fixation,22,568.333333,968.333333,400.0,366.666667,00:00:00.73500,238.05,406.38,-1000.0,-1000.0,,,,building building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.830712890625,person:0.29311197916666665 pavement:0.18251953125 building:0.07786458333333333 plant_vertical:0.145322265625 sky:0.11231445312499999 plant_horizontal:0.045638020833333334
2,BDL037_Suna_EyeTracking_Walk2_Render.mov,2,fixation,31,1001.666667,1168.333333,166.666667,666.666667,00:00:01.03500,251.57,449.49,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.8238020833333334,person:0.3048502604166667 pavement:0.15387369791666666 building:0.08260091145833334 sky:0.12737955729166667 plant_vertical:0.11792317708333333 plant_horizontal:0.04859700520833333
3,BDL037_Suna_EyeTracking_Walk2_Render.mov,3,fixation,45,1470.0,1603.333333,133.333333,1135.0,00:00:01.50300,209.62,250.64,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky,person: 1.0 background: 0.0,person: 1.0,0.90537109375,person:0.2709244791666667 sky:0.19027669270833333 building:0.08244140625 plant_vertical:0.19020182291666668 plant_horizontal:0.04242838541666667 pavement:0.14166666666666666
4,BDL037_Suna_EyeTracking_Walk2_Render.mov,4,fixation,60,1936.6666670000002,2136.666667,200.0,1635.0,00:00:02.00300,297.14,406.32,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.863056640625,person:0.2838216145833333 sky:0.21279622395833334 pavement:0.14808919270833334 plant_horizontal:0.04658528645833333 building:0.075576171875 plant_vertical:0.1619856770833333
5,BDL037_Suna_EyeTracking_Walk2_Render.mov,5,fixation,73,2236.666667,2738.333333,501.666667,2068.333333,00:00:02.43700,280.39,323.86,-1000.0,-1000.0,,,,building building building pavement person plant_horizontal plant_vertical plant_vertical sky sky sky,person: 1.0 background: 0.0,person: 1.0,0.8686263020833334,person:0.30609049479166667 pavement:0.19513671875 building:0.11295572916666666 plant_vertical:0.132509765625 plant_horizontal:0.045286458333333335 sky:0.10885091145833332
6,BDL037_Suna_EyeTracking_Walk2_Render.mov,6,fixation,84,2805.0,2905.0,100.0,2436.666667,00:00:02.80500,319.41,361.52,-1000.0,-1000.0,,,,building building building pavement person plant_horizontal plant_vertical plant_vertical sky sky,person: 0.437570303712036 pavement: 0.29021372328458944 background: 0.2722159730033746,person: 0.6012364760432767 pavement: 0.3987635239567233,0.8673502604166666,person:0.3034309895833333 pavement:0.19525716145833333 building:0.12773763020833334 plant_vertical:0.12497721354166666 sky:0.108046875 plant_horizontal:0.042454427083333336
7,BDL037_Suna_EyeTracking_Walk2_Render.mov,7,fixation,91,2971.666667,3171.666667,200.0,2670.0,00:00:03.03800,317.31,306.08,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_vertical plant_vertical sky sky,person: 0.3880764904386952 pavement: 0.1889763779527559 background: 0.4229471316085489,person: 0.672514619883041 pavement: 0.32748538011695905,0.8206022135416666,person:0.318896484375 pavement:0.16814453125 plant_vertical:0.120419921875 plant_horizontal:0.045166015625 sky:0.10390625 building:0.06709960937500001
8,BDL037_Suna_EyeTracking_Walk2_Render.mov,8,fixation,129,3938.333333,4740.0,801.666667,3938.333333,00:00:04.30700,207.7,126.29,-1000.0,-1000.0,,,,plant_vertical,plant_vertical: 1.0 background: 0.0,plant_vertical: 1.0,0.5193684895833334,plant_vertical:0.5193684895833334
9,BDL037_Suna_EyeTracking_Walk2_Render.mov,9,fixation,154,5106.666667,5240.0,133.333333,4771.666667,00:00:05.14000,224.83,272.06,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical,person: 1.0 background: 0.0,person: 1.0,0.8812174479166667,plant_horizontal:0.072734375 person:0.415283203125 pavement:0.348369140625 building:0.03345052083333333 plant_vertical:0.04258463541666667
