,/Users/pslive1/Documents/Walk_Projext/BDL004_Goose_EyeTracking_Walk/BDL004_Goose_EyeTracking_Walk.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,ToCut,all_classes,fixation_classes
0,BDL004_Goose_EyeTracking_Walk.mov,0,fixation,2,0.0,135.0,135.0,0.0,00:00.1,339.13,429.8,70,80,0 - 6519,building pavement pavement pavement person plant_horizontal plant_horizontal plant_vertical sky,person
1,BDL004_Goose_EyeTracking_Walk.mov,1,fixation,19,601.666667,735.0,133.333333,566.666667,00:00.6,382.78,342.11,88,88,16860 - 17384,building pavement person plant_vertical plant_vertical sky,person
2,BDL004_Goose_EyeTracking_Walk.mov,2,fixation,27,835.0,1068.333333,233.333333,833.333333,00:00.9,293.63,341.19,99,104,33010 - End,building pavement person person sky,person
3,BDL004_Goose_EyeTracking_Walk.mov,3,fixation,36,1168.333333,1303.333333,135.0,1133.333333,00:01.2,318.29,342.5,87,90,,building person person plant_horizontal sign,building
4,BDL004_Goose_EyeTracking_Walk.mov,4,fixation,45,1470.0,1636.666667,166.666667,1435.0,00:01.5,233.46,321.27,100,99,,building pavement person plant_horizontal plant_horizontal plant_vertical sky,building
5,BDL004_Goose_EyeTracking_Walk.mov,5,fixation,55,1836.6666670000002,1936.6666670000002,100.0,1768.3333329999998,00:01.8,251.55,161.64,100,107,,building building plant_horizontal plant_vertical,building
6,BDL004_Goose_EyeTracking_Walk.mov,6,fixation,80,2638.333333,2771.666667,133.333333,2603.333333,00:02.7,212.94,65.46,87,89,,building building building plant_horizontal plant_vertical plant_vertical plant_vertical sky,sky
7,BDL004_Goose_EyeTracking_Walk.mov,8,fixation,142,4740.0,4840.0,100.0,4671.666667,00:04.7,252.31,382.8,40,41,,,
8,BDL004_Goose_EyeTracking_Walk.mov,9,fixation,156,5208.333333,5308.333333,100.0,5140.0,00:05.2,198.3,247.49,96,96,,building plant_horizontal pole sky,plant_horizontal pole
9,BDL004_Goose_EyeTracking_Walk.mov,10,fixation,168,5541.666667,5741.666667,200.0,5540.0,00:05.6,144.66,399.04,84,87,,pavement plant_horizontal plant_vertical,
10,BDL004_Goose_EyeTracking_Walk.mov,11,fixation,176,5775.0,6041.666667,266.666667,5806.666667,00:05.9,113.5,356.95,67,67,,building pavement plant_horizontal,plant_horizontal
11,BDL004_Goose_EyeTracking_Walk.mov,12,fixation,187,6108.333333,6476.666667,368.333333,6173.333333,00:06.2,136.81,350.24,84,84,,building plant_horizontal plant_vertical,plant_vertical
12,BDL004_Goose_EyeTracking_Walk.mov,13,fixation,202,6610.0,6976.666667,366.666667,6675.0,00:06.7,128.69,351.35,70,72,,building plant_vertical plant_vertical pole,pole
13,BDL004_Goose_EyeTracking_Walk.mov,14,fixation,217,7243.333333,7343.333333,100.0,7175.0,00:07.2,95.3,196.87,96,96,,pavement person plant_horizontal plant_vertical plant_vertical pole,plant_vertical
14,BDL004_Goose_EyeTracking_Walk.mov,15,fixation,228,7576.666667,7711.666667,135.0,7541.666667,00:07.6,150.2,341.49,81,92,,pavement plant_horizontal plant_vertical,plant_horizontal
15,BDL004_Goose_EyeTracking_Walk.mov,16,fixation,232,7745.0,7845.0,100.0,7676.666667,00:07.7,55.46,119.67,94,94,,plant_horizontal plant_vertical,plant_vertical
16,BDL004_Goose_EyeTracking_Walk.mov,17,fixation,236,7878.333333,7978.333333,100.0,7810.0,00:07.9,77.04,181.79,96,96,,building building person plant_horizontal plant_vertical plant_vertical,plant_horizontal
17,BDL004_Goose_EyeTracking_Walk.mov,18,fixation,242,8078.333333,8178.333333,100.0,8010.0,00:08.1,69.48,133.08,100,100,,plant_horizontal plant_horizontal,
18,BDL004_Goose_EyeTracking_Walk.mov,19,fixation,258,8611.666667,8711.666667,100.0,8543.333333,00:08.6,148.45,348.84,116,116,,pavement plant_horizontal,pavement plant_horizontal
19,BDL004_Goose_EyeTracking_Walk.mov,20,fixation,267,8711.666667,9180.0,468.333333,8843.333333,00:08.9,70.44,169.62,108,106,,pavement plant_horizontal,plant_horizontal
20,BDL004_Goose_EyeTracking_Walk.mov,21,fixation,277,9213.333333,9380.0,166.666667,9178.333333,00:09.2,164.91,344.93,42,85,,pavement plant_horizontal,
21,BDL004_Goose_EyeTracking_Walk.mov,22,fixation,287,9546.666667,9713.333333,166.666667,9511.666667,00:09.6,234.16,304.63,77,98,,pavement plant_horizontal plant_horizontal,plant_horizontal pavement
22,BDL004_Goose_EyeTracking_Walk.mov,23,fixation,317,10515.0,10748.33333,233.333333,10513.33333,00:10.6,192.64,109.11,79,96,,building building pavement pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical sky sky sky,person
23,BDL004_Goose_EyeTracking_Walk.mov,24,fixation,324,10781.66667,10915.0,133.333333,10746.66667,00:10.8,164.41,125.59,82,88,,building person plant_vertical sky sky,person
24,BDL004_Goose_EyeTracking_Walk.mov,25,fixation,328,10915.0,11081.66667,166.666667,10880.0,00:10.9,147.01,155.0,76,79,,building person plant_horizontal,
25,BDL004_Goose_EyeTracking_Walk.mov,26,fixation,337,11148.33333,11415.0,266.666667,11180.0,00:11.2,90.88,113.64,70,82,,building building person plant_vertical plant_vertical,plant_vertical
26,BDL004_Goose_EyeTracking_Walk.mov,27,fixation,360,11950.0,12183.33333,233.333333,11948.33333,00:12.0,138.38,240.13,79,80,,building building person plant_vertical plant_vertical sky,person
