,/Users/pslive1/Documents/Walk_Projext/BDL037_Suna_Walk_Take2/BDL037_Suna_EyeTracking_Walk2_Render/BDL037_Suna_EyeTracking_Walk2_Render.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes,all_classes,fixation_classes
0,BDL037_Suna_EyeTracking_Walk2_Render.mov,0,fixation,11,235.0,568.333333,333.333333,0.0,00:00:00.36800,252.87,364.22,-1000.0,-1000.0,,,,building building building pavement pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical sky sky,person
1,BDL037_Suna_EyeTracking_Walk2_Render.mov,1,fixation,22,568.333333,968.333333,400.0,366.666667,00:00:00.73500,238.05,406.38,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical sky sky,person plant_horizontal
2,BDL037_Suna_EyeTracking_Walk2_Render.mov,2,fixation,31,1001.666667,1168.333333,166.666667,666.666667,00:00:01.03500,251.57,449.49,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky sky sky,person
3,BDL037_Suna_EyeTracking_Walk2_Render.mov,3,fixation,45,1470.0,1603.333333,133.333333,1135.0,00:00:01.50300,209.62,250.64,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky,person
4,BDL037_Suna_EyeTracking_Walk2_Render.mov,4,fixation,60,1936.6666670000002,2136.666667,200.0,1635.0,00:00:02.00300,297.14,406.32,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_vertical plant_vertical plant_vertical sky,person
5,BDL037_Suna_EyeTracking_Walk2_Render.mov,5,fixation,73,2236.666667,2738.333333,501.666667,2068.333333,00:00:02.43700,280.39,323.86,-1000.0,-1000.0,,,,building building building pavement pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical sky sky,person plant_horizontal
6,BDL037_Suna_EyeTracking_Walk2_Render.mov,6,fixation,84,2805.0,2905.0,100.0,2436.666667,00:00:02.80500,319.41,361.52,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_vertical plant_vertical sky sky,
7,BDL037_Suna_EyeTracking_Walk2_Render.mov,7,fixation,91,2971.666667,3171.666667,200.0,2670.0,00:00:03.03800,317.31,306.08,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_vertical plant_vertical sky sky,
8,BDL037_Suna_EyeTracking_Walk2_Render.mov,8,fixation,129,3938.333333,4740.0,801.666667,3938.333333,00:00:04.30700,207.7,126.29,-1000.0,-1000.0,,,,,
9,BDL037_Suna_EyeTracking_Walk2_Render.mov,9,fixation,154,5106.666667,5240.0,133.333333,4771.666667,00:00:05.14000,224.83,272.06,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical sky,person
